"","sample","well","compound","replicate","f_conc_uM","i_conc_mM","concentration","source_well","solvent","volume_nl"
"1","CD45+","D03","DMSO",1,NA,NA,1,"A02","DMSO_based",60
"2","CD45+","F15","DMSO",2,NA,NA,2,"B02","DMSO_based",60
"3","CD45+","G04","DMSO",1,NA,NA,3,"C02","DMSO_based",60
"4","CD45+","G14","DMSO",1,NA,NA,4,"D02","DMSO_based",60
"5","CD45+","H15","DMSO",2,NA,NA,5,"E02","DMSO_based",60
"6","CD45+","K02","DMSO",2,NA,NA,6,"F02","DMSO_based",60
"7","CD45+","L03","DMSO",1,NA,NA,7,"G02","DMSO_based",60
"8","CD45+","P14","DMSO",2,NA,NA,8,"H02","DMSO_based",60
"9","CD45-","D07","DMSO",1,NA,NA,9,"I02","DMSO_based",60
"10","CD45-","F19","DMSO",2,NA,NA,10,"J02","DMSO_based",60
"11","CD45-","G08","DMSO",1,NA,NA,11,"K02","DMSO_based",60
"12","CD45-","G18","DMSO",1,NA,NA,12,"L02","DMSO_based",60
"13","CD45-","H19","DMSO",2,NA,NA,13,"M02","DMSO_based",60
"14","CD45-","K06","DMSO",2,NA,NA,14,"N02","DMSO_based",60
"15","CD45-","L07","DMSO",1,NA,NA,15,"O02","DMSO_based",60
"16","CD45-","P18","DMSO",2,NA,NA,16,"P02","DMSO_based",60
"17","mixture","D11","DMSO",1,NA,NA,1,"A02","DMSO_based",60
"18","mixture","F23","DMSO",2,NA,NA,2,"B02","DMSO_based",60
"19","mixture","G12","DMSO",1,NA,NA,3,"C02","DMSO_based",60
"20","mixture","G22","DMSO",1,NA,NA,4,"D02","DMSO_based",60
"21","mixture","H23","DMSO",2,NA,NA,5,"E02","DMSO_based",60
"22","mixture","K10","DMSO",2,NA,NA,6,"F02","DMSO_based",60
"23","mixture","L11","DMSO",1,NA,NA,7,"G02","DMSO_based",60
"24","mixture","P22","DMSO",2,NA,NA,8,"H02","DMSO_based",60
"25","CD45+","C14","Stauro",1,NA,NA,1,"A01","DMSO_based",60
"26","CD45+","C16","Stauro",2,NA,NA,2,"B01","DMSO_based",60
"27","CD45+","E14","Stauro",2,NA,NA,3,"C01","DMSO_based",60
"28","CD45+","H13","Stauro",2,NA,NA,4,"D01","DMSO_based",60
"29","CD45+","J03","Stauro",1,NA,NA,5,"E01","DMSO_based",60
"30","CD45+","J13","Stauro",1,NA,NA,6,"F01","DMSO_based",60
"31","CD45+","K03","Stauro",2,NA,NA,7,"G01","DMSO_based",60
"32","CD45+","N01","Stauro",1,NA,NA,8,"H01","DMSO_based",60
"33","CD45-","C18","Stauro",1,NA,NA,9,"I01","DMSO_based",60
"34","CD45-","C20","Stauro",2,NA,NA,10,"J01","DMSO_based",60
"35","CD45-","E18","Stauro",2,NA,NA,11,"K01","DMSO_based",60
"36","CD45-","H17","Stauro",2,NA,NA,12,"L01","DMSO_based",60
"37","CD45-","J07","Stauro",1,NA,NA,13,"M01","DMSO_based",60
"38","CD45-","J17","Stauro",1,NA,NA,14,"N01","DMSO_based",60
"39","CD45-","K07","Stauro",2,NA,NA,15,"O01","DMSO_based",60
"40","CD45-","N05","Stauro",1,NA,NA,16,"P01","DMSO_based",60
"41","mixture","C22","Stauro",1,NA,NA,1,"A01","DMSO_based",60
"42","mixture","C24","Stauro",2,NA,NA,2,"B01","DMSO_based",60
"43","mixture","E22","Stauro",2,NA,NA,3,"C01","DMSO_based",60
"44","mixture","H21","Stauro",2,NA,NA,4,"D01","DMSO_based",60
"45","mixture","J11","Stauro",1,NA,NA,5,"E01","DMSO_based",60
"46","mixture","J21","Stauro",1,NA,NA,6,"F01","DMSO_based",60
"47","mixture","K11","Stauro",2,NA,NA,7,"G01","DMSO_based",60
"48","mixture","N09","Stauro",1,NA,NA,8,"H01","DMSO_based",60
"49","CD45+","A01","G",2,0.078125,10,8,"N14","H20_based",60
"50","CD45+","A02","C",1,0.15625,10,7,"F04","DMSO_based",60
"51","CD45+","A03","G",1,5,10,2,"M13","H20_based",60
"52","CD45+","A04","A",1,5,10,2,"A13","DMSO_based",60
"53","CD45+","A13","G",1,1.25,10,4,"M14","H20_based",60
"54","CD45+","A14","B",2,0.625,10,5,"D03","DMSO_based",60
"55","CD45+","A15","B",1,0.3125,10,6,"D13","DMSO_based",60
"56","CD45+","A16","F",2,0.15625,10,7,"L04","DMSO_based",60
"57","CD45+","B01","D",1,2.5,10,3,"G04","DMSO_based",60
"58","CD45+","B02","G",1,0.15625,10,7,"N04","H20_based",60
"59","CD45+","B03","E",1,2.5,10,3,"I04","DMSO_based",60
"60","CD45+","B04","D",1,1.25,10,4,"G14","DMSO_based",60
"61","CD45+","B13","B",2,1.25,10,4,"C14","DMSO_based",60
"62","CD45+","B14","D",1,5,10,2,"G13","DMSO_based",60
"63","CD45+","B15","D",1,0.15625,10,7,"H04","DMSO_based",60
"64","CD45+","B16","B",1,5,10,2,"C13","DMSO_based",60
"65","CD45+","C01","G",1,0.078125,10,8,"N14","H20_based",60
"66","CD45+","C02","A",1,10,10,1,"A03","DMSO_based",60
"67","CD45+","C03","E",2,0.3125,10,6,"J13","DMSO_based",60
"68","CD45+","C04","C",1,0.625,10,5,"F03","DMSO_based",60
