"","destination_well","source_well","volume_nl"
"1","A01","N14",60
"2","A03","M13",60
"3","A13","M14",60
"4","B02","N04",60
"5","C01","N14",60
"6","D01","N03",60
"7","D02","M03",60
"8","E04","M13",60
"9","F01","M03",60
"10","H14","M04",60
"11","J14","M04",60
"12","K13","M14",60
"13","L04","N13",60
"14","N14","N13",60
"15","N16","N04",60
"16","O13","N03",60
"17","A05","N14",60
"18","A07","M13",60
"19","A17","M14",60
"20","B06","N04",60
"21","C05","N14",60
"22","D05","N03",60
"23","D06","M03",60
"24","E08","M13",60
"25","F05","M03",60
"26","H18","M04",60
"27","J18","M04",60
"28","K17","M14",60
"29","L08","N13",60
"30","N18","N13",60
"31","N20","N04",60
"32","O17","N03",60
"33","A09","N14",60
"34","A11","M13",60
"35","A21","M14",60
"36","B10","N04",60
"37","C09","N14",60
"38","D09","N03",60
"39","D10","M03",60
"40","E12","M13",60
"41","F09","M03",60
"42","H22","M04",60
"43","J22","M04",60
"44","K21","M14",60
"45","L12","N13",60
"46","N22","N13",60
"47","N24","N04",60
"48","O21","N03",60
