well,row,col_pad,col,compound,concentration,f_conc_uM,i_conc_mM
A01,A,01,1,G,8,0.078125,10
A02,A,02,2,C,7,0.15625,10
A03,A,03,3,G,2,5,10
A04,A,04,4,A,2,5,10
A13,A,13,13,G,4,1.25,10
A14,A,14,14,B,5,0.625,10
A15,A,15,15,B,6,0.3125,10
A16,A,16,16,F,7,0.15625,10
B01,B,01,1,D,3,2.5,10
B02,B,02,2,G,7,0.15625,10
B03,B,03,3,E,3,2.5,10
B04,B,04,4,D,4,1.25,10
B13,B,13,13,B,4,1.25,10
B14,B,14,14,D,2,5,10
B15,B,15,15,D,7,0.15625,10
B16,B,16,16,B,2,5,10
C01,C,01,1,G,8,0.078125,10
C02,C,02,2,A,1,10,10
C03,C,03,3,E,6,0.3125,10
C04,C,04,4,C,5,0.625,10
C13,C,13,13,F,1,10,10
C14,C,14,14,Stauro,NA,NA,NA
C15,C,15,15,B,6,0.3125,10
C16,C,16,16,Stauro,NA,NA,NA
D01,D,01,1,G,5,0.625,10
D02,D,02,2,G,1,10,10
D03,D,03,3,DMSO,NA,NA,NA
D04,D,04,4,B,7,0.15625,10
D13,D,13,13,C,8,0.078125,10
D14,D,14,14,D,5,0.625,10
D15,D,15,15,C,1,10,10
D16,D,16,16,B,4,1.25,10
E01,E,01,1,B,3,2.5,10
E02,E,02,2,A,6,0.3125,10
E03,E,03,3,C,5,0.625,10
E04,E,04,4,G,2,5,10
E13,E,13,13,F,6,0.3125,10
E14,E,14,14,Stauro,NA,NA,NA
E15,E,15,15,D,2,5,10
E16,E,16,16,A,6,0.3125,10
F01,F,01,1,G,1,10,10
F02,F,02,2,B,5,0.625,10
F03,F,03,3,B,1,10,10
F04,F,04,4,F,5,0.625,10
F13,F,13,13,D,7,0.15625,10
F14,F,14,14,C,4,1.25,10
F15,F,15,15,DMSO,NA,NA,NA
F16,F,16,16,D,5,0.625,10
G01,G,01,1,C,4,1.25,10
G02,G,02,2,E,2,5,10
G03,G,03,3,E,6,0.3125,10
G04,G,04,4,DMSO,NA,NA,NA
G13,G,13,13,C,8,0.078125,10
G14,G,14,14,DMSO,NA,NA,NA
G15,G,15,15,F,7,0.15625,10
G16,G,16,16,E,4,1.25,10
H01,H,01,1,C,7,0.15625,10
H02,H,02,2,F,2,5,10
H03,H,03,3,E,7,0.15625,10
H04,H,04,4,C,3,2.5,10
H13,H,13,13,Stauro,NA,NA,NA
H14,H,14,14,G,3,2.5,10
H15,H,15,15,DMSO,NA,NA,NA
H16,H,16,16,D,4,1.25,10
I01,I,01,1,F,6,0.3125,10
I02,I,02,2,B,8,0.078125,10
I03,I,03,3,F,4,1.25,10
I04,I,04,4,F,8,0.078125,10
I13,I,13,13,A,8,0.078125,10
I14,I,14,14,A,5,0.625,10
I15,I,15,15,A,3,2.5,10
I16,I,16,16,F,5,0.625,10
J01,J,01,1,C,2,5,10
J02,J,02,2,A,8,0.078125,10
J03,J,03,3,Stauro,NA,NA,NA
J04,J,04,4,D,8,0.078125,10
J13,J,13,13,Stauro,NA,NA,NA
J14,J,14,14,G,3,2.5,10
J15,J,15,15,C,6,0.3125,10
J16,J,16,16,A,1,10,10
K01,K,01,1,C,6,0.3125,10
K02,K,02,2,DMSO,NA,NA,NA
K03,K,03,3,Stauro,NA,NA,NA
K04,K,04,4,A,3,2.5,10
K13,K,13,13,G,4,1.25,10
K14,K,14,14,D,1,10,10
K15,K,15,15,E,4,1.25,10
K16,K,16,16,E,5,0.625,10
L01,L,01,1,D,1,10,10
L02,L,02,2,B,8,0.078125,10
L03,L,03,3,DMSO,NA,NA,NA
L04,L,04,4,G,6,0.3125,10
L13,L,13,13,A,5,0.625,10
L14,L,14,14,B,3,2.5,10
L15,L,15,15,A,4,1.25,10
L16,L,16,16,E,1,10,10
M01,M,01,1,D,6,0.3125,10
M02,M,02,2,A,7,0.15625,10
M03,M,03,3,F,2,5,10
M04,M,04,4,F,1,10,10
M13,M,13,13,E,7,0.15625,10
M14,M,14,14,E,3,2.5,10
M15,M,15,15,E,2,5,10
M16,M,16,16,A,7,0.15625,10
N01,N,01,1,Stauro,NA,NA,NA
N02,N,02,2,B,2,5,10
N03,N,03,3,F,3,2.5,10
N04,N,04,4,E,5,0.625,10
N13,N,13,13,B,7,0.15625,10
N14,N,14,14,G,6,0.3125,10
N15,N,15,15,D,3,2.5,10
N16,N,16,16,G,7,0.15625,10
O01,O,01,1,D,8,0.078125,10
O02,O,02,2,D,6,0.3125,10
O03,O,03,3,E,8,0.078125,10
O04,O,04,4,C,3,2.5,10
O13,O,13,13,G,5,0.625,10
O14,O,14,14,A,4,1.25,10
O15,O,15,15,B,1,10,10
O16,O,16,16,F,3,2.5,10
P01,P,01,1,E,1,10,10
P02,P,02,2,F,4,1.25,10
P03,P,03,3,F,8,0.078125,10
P04,P,04,4,E,8,0.078125,10
P13,P,13,13,C,1,10,10
P14,P,14,14,DMSO,NA,NA,NA
P15,P,15,15,C,2,5,10
P16,P,16,16,A,2,5,10
A05,A,05,5,G,8,0.078125,10
A06,A,06,6,C,7,0.15625,10
A07,A,07,7,G,2,5,10
A08,A,08,8,A,2,5,10
A17,A,17,17,G,4,1.25,10
A18,A,18,18,B,5,0.625,10
A19,A,19,19,B,6,0.3125,10
A20,A,20,20,F,7,0.15625,10
B05,B,05,5,D,3,2.5,10
B06,B,06,6,G,7,0.15625,10
B07,B,07,7,E,3,2.5,10
B08,B,08,8,D,4,1.25,10
B17,B,17,17,B,4,1.25,10
B18,B,18,18,D,2,5,10
B19,B,19,19,D,7,0.15625,10
B20,B,20,20,B,2,5,10
C05,C,05,5,G,8,0.078125,10
C06,C,06,6,A,1,10,10
C07,C,07,7,E,6,0.3125,10
C08,C,08,8,C,5,0.625,10
C17,C,17,17,F,1,10,10
C18,C,18,18,Stauro,NA,NA,NA
C19,C,19,19,B,6,0.3125,10
C20,C,20,20,Stauro,NA,NA,NA
D05,D,05,5,G,5,0.625,10
D06,D,06,6,G,1,10,10
D07,D,07,7,DMSO,NA,NA,NA
D08,D,08,8,B,7,0.15625,10
D17,D,17,17,C,8,0.078125,10
D18,D,18,18,D,5,0.625,10
D19,D,19,19,C,1,10,10
D20,D,20,20,B,4,1.25,10
E05,E,05,5,B,3,2.5,10
E06,E,06,6,A,6,0.3125,10
E07,E,07,7,C,5,0.625,10
E08,E,08,8,G,2,5,10
E17,E,17,17,F,6,0.3125,10
E18,E,18,18,Stauro,NA,NA,NA
E19,E,19,19,D,2,5,10
E20,E,20,20,A,6,0.3125,10
F05,F,05,5,G,1,10,10
F06,F,06,6,B,5,0.625,10
F07,F,07,7,B,1,10,10
F08,F,08,8,F,5,0.625,10
F17,F,17,17,D,7,0.15625,10
F18,F,18,18,C,4,1.25,10
F19,F,19,19,DMSO,NA,NA,NA
F20,F,20,20,D,5,0.625,10
G05,G,05,5,C,4,1.25,10
G06,G,06,6,E,2,5,10
G07,G,07,7,E,6,0.3125,10
G08,G,08,8,DMSO,NA,NA,NA
G17,G,17,17,C,8,0.078125,10
G18,G,18,18,DMSO,NA,NA,NA
G19,G,19,19,F,7,0.15625,10
G20,G,20,20,E,4,1.25,10
H05,H,05,5,C,7,0.15625,10
H06,H,06,6,F,2,5,10
H07,H,07,7,E,7,0.15625,10
H08,H,08,8,C,3,2.5,10
H17,H,17,17,Stauro,NA,NA,NA
H18,H,18,18,G,3,2.5,10
H19,H,19,19,DMSO,NA,NA,NA
H20,H,20,20,D,4,1.25,10
I05,I,05,5,F,6,0.3125,10
I06,I,06,6,B,8,0.078125,10
I07,I,07,7,F,4,1.25,10
I08,I,08,8,F,8,0.078125,10
I17,I,17,17,A,8,0.078125,10
I18,I,18,18,A,5,0.625,10
I19,I,19,19,A,3,2.5,10
I20,I,20,20,F,5,0.625,10
J05,J,05,5,C,2,5,10
J06,J,06,6,A,8,0.078125,10
J07,J,07,7,Stauro,NA,NA,NA
J08,J,08,8,D,8,0.078125,10
J17,J,17,17,Stauro,NA,NA,NA
J18,J,18,18,G,3,2.5,10
J19,J,19,19,C,6,0.3125,10
J20,J,20,20,A,1,10,10
K05,K,05,5,C,6,0.3125,10
K06,K,06,6,DMSO,NA,NA,NA
K07,K,07,7,Stauro,NA,NA,NA
K08,K,08,8,A,3,2.5,10
K17,K,17,17,G,4,1.25,10
K18,K,18,18,D,1,10,10
K19,K,19,19,E,4,1.25,10
K20,K,20,20,E,5,0.625,10
L05,L,05,5,D,1,10,10
L06,L,06,6,B,8,0.078125,10
L07,L,07,7,DMSO,NA,NA,NA
L08,L,08,8,G,6,0.3125,10
L17,L,17,17,A,5,0.625,10
L18,L,18,18,B,3,2.5,10
L19,L,19,19,A,4,1.25,10
L20,L,20,20,E,1,10,10
M05,M,05,5,D,6,0.3125,10
M06,M,06,6,A,7,0.15625,10
M07,M,07,7,F,2,5,10
M08,M,08,8,F,1,10,10
M17,M,17,17,E,7,0.15625,10
M18,M,18,18,E,3,2.5,10
M19,M,19,19,E,2,5,10
M20,M,20,20,A,7,0.15625,10
N05,N,05,5,Stauro,NA,NA,NA
N06,N,06,6,B,2,5,10
N07,N,07,7,F,3,2.5,10
N08,N,08,8,E,5,0.625,10
N17,N,17,17,B,7,0.15625,10
N18,N,18,18,G,6,0.3125,10
N19,N,19,19,D,3,2.5,10
N20,N,20,20,G,7,0.15625,10
O05,O,05,5,D,8,0.078125,10
O06,O,06,6,D,6,0.3125,10
O07,O,07,7,E,8,0.078125,10
O08,O,08,8,C,3,2.5,10
O17,O,17,17,G,5,0.625,10
O18,O,18,18,A,4,1.25,10
O19,O,19,19,B,1,10,10
O20,O,20,20,F,3,2.5,10
P05,P,05,5,E,1,10,10
P06,P,06,6,F,4,1.25,10
P07,P,07,7,F,8,0.078125,10
P08,P,08,8,E,8,0.078125,10
P17,P,17,17,C,1,10,10
P18,P,18,18,DMSO,NA,NA,NA
P19,P,19,19,C,2,5,10
P20,P,20,20,A,2,5,10
A09,A,09,9,G,8,0.078125,10
A10,A,10,10,C,7,0.15625,10
A11,A,11,11,G,2,5,10
A12,A,12,12,A,2,5,10
A21,A,21,21,G,4,1.25,10
A22,A,22,22,B,5,0.625,10
A23,A,23,23,B,6,0.3125,10
A24,A,24,24,F,7,0.15625,10
B09,B,09,9,D,3,2.5,10
B10,B,10,10,G,7,0.15625,10
B11,B,11,11,E,3,2.5,10
B12,B,12,12,D,4,1.25,10
B21,B,21,21,B,4,1.25,10
B22,B,22,22,D,2,5,10
B23,B,23,23,D,7,0.15625,10
B24,B,24,24,B,2,5,10
C09,C,09,9,G,8,0.078125,10
C10,C,10,10,A,1,10,10
C11,C,11,11,E,6,0.3125,10
C12,C,12,12,C,5,0.625,10
C21,C,21,21,F,1,10,10
C22,C,22,22,Stauro,NA,NA,NA
C23,C,23,23,B,6,0.3125,10
C24,C,24,24,Stauro,NA,NA,NA
D09,D,09,9,G,5,0.625,10
D10,D,10,10,G,1,10,10
D11,D,11,11,DMSO,NA,NA,NA
D12,D,12,12,B,7,0.15625,10
D21,D,21,21,C,8,0.078125,10
D22,D,22,22,D,5,0.625,10
D23,D,23,23,C,1,10,10
D24,D,24,24,B,4,1.25,10
E09,E,09,9,B,3,2.5,10
E10,E,10,10,A,6,0.3125,10
E11,E,11,11,C,5,0.625,10
E12,E,12,12,G,2,5,10
E21,E,21,21,F,6,0.3125,10
E22,E,22,22,Stauro,NA,NA,NA
E23,E,23,23,D,2,5,10
E24,E,24,24,A,6,0.3125,10
F09,F,09,9,G,1,10,10
F10,F,10,10,B,5,0.625,10
F11,F,11,11,B,1,10,10
F12,F,12,12,F,5,0.625,10
F21,F,21,21,D,7,0.15625,10
F22,F,22,22,C,4,1.25,10
F23,F,23,23,DMSO,NA,NA,NA
F24,F,24,24,D,5,0.625,10
G09,G,09,9,C,4,1.25,10
G10,G,10,10,E,2,5,10
G11,G,11,11,E,6,0.3125,10
G12,G,12,12,DMSO,NA,NA,NA
G21,G,21,21,C,8,0.078125,10
G22,G,22,22,DMSO,NA,NA,NA
G23,G,23,23,F,7,0.15625,10
G24,G,24,24,E,4,1.25,10
H09,H,09,9,C,7,0.15625,10
H10,H,10,10,F,2,5,10
H11,H,11,11,E,7,0.15625,10
H12,H,12,12,C,3,2.5,10
H21,H,21,21,Stauro,NA,NA,NA
H22,H,22,22,G,3,2.5,10
H23,H,23,23,DMSO,NA,NA,NA
H24,H,24,24,D,4,1.25,10
I09,I,09,9,F,6,0.3125,10
I10,I,10,10,B,8,0.078125,10
I11,I,11,11,F,4,1.25,10
I12,I,12,12,F,8,0.078125,10
I21,I,21,21,A,8,0.078125,10
I22,I,22,22,A,5,0.625,10
I23,I,23,23,A,3,2.5,10
I24,I,24,24,F,5,0.625,10
J09,J,09,9,C,2,5,10
J10,J,10,10,A,8,0.078125,10
J11,J,11,11,Stauro,NA,NA,NA
J12,J,12,12,D,8,0.078125,10
J21,J,21,21,Stauro,NA,NA,NA
J22,J,22,22,G,3,2.5,10
J23,J,23,23,C,6,0.3125,10
J24,J,24,24,A,1,10,10
K09,K,09,9,C,6,0.3125,10
K10,K,10,10,DMSO,NA,NA,NA
K11,K,11,11,Stauro,NA,NA,NA
K12,K,12,12,A,3,2.5,10
K21,K,21,21,G,4,1.25,10
K22,K,22,22,D,1,10,10
K23,K,23,23,E,4,1.25,10
K24,K,24,24,E,5,0.625,10
L09,L,09,9,D,1,10,10
L10,L,10,10,B,8,0.078125,10
L11,L,11,11,DMSO,NA,NA,NA
L12,L,12,12,G,6,0.3125,10
L21,L,21,21,A,5,0.625,10
L22,L,22,22,B,3,2.5,10
L23,L,23,23,A,4,1.25,10
L24,L,24,24,E,1,10,10
M09,M,09,9,D,6,0.3125,10
M10,M,10,10,A,7,0.15625,10
M11,M,11,11,F,2,5,10
M12,M,12,12,F,1,10,10
